order_number,date,casting_weight_gr,material,modul,inoculant_weight_gr
170630835,11/2/2022,92868,I,1.47,1272
170630837,11/3/2022,90828,S,1.22,2579
170630839,11/4/2022,76486,S,1.22,2171
170630841,11/3/2022,93799,S,1.7,2031
170630843,11/4/2022,23358,G,1.79,427
170630845,11/4/2022,22787,G,1.78,421
170630853,11/3/2022,58691,F,1.83,779
170630855,11/1/2022,67442,G,2,1125
170630857,11/1/2022,72257,G,1.96,1137
170630861,11/1/2022,74392,G,2.16,1125
170630863,11/4/2022,34867,S,1,1504
170630865,11/4/2022,14280,S,0.97,639
170630867,11/4/2022,45339,S,1.17,1608
170630869,11/4/2022,39059,G,1.48,1019
170630871,11/4/2022,48470,G,1.98,777
170630873,11/4/2022,58752,G,1.56,1376
170630875,11/4/2022,16157,G,1.98,260
170630877,11/4/2022,16106,G,1.98,258
170630879,11/4/2022,35251,G,1.56,825
170630881,11/4/2022,32212,G,1.98,517
170630883,11/4/2022,48317,G,1.98,775
170630885,11/4/2022,58752,G,1.56,1376
170630827,11/8/2022,16963,F,1.15,170
170630727,10/28/2022,22712,S,1.33,581
170630729,10/28/2022,63730,S,1.25,1606
170630743,11/2/2022,237619,G,2.08,3496
170630751,11/3/2022,100912,S,1.23,2768
170630753,11/3/2022,80403,S,1.23,2211
170630759,11/2/2022,227848,G,2.02,3460
170630765,11/4/2022,51904,S,1.06,2011
170630769,11/4/2022,29471,S,0.99,1260
170630773,11/1/2022,31314,S,1.32,895
170630777,11/4/2022,45257,G,1.94,745
170630779,11/2/2022,52006,G,1.71,1151
170630783,11/4/2022,77520,S,1.07,2882
170630789,11/2/2022,120074,G,2.06,1826
170630795,11/3/2022,47838,G,2.24,709
170630797,11/1/2022,39005,G,2.12,617
170630801,11/4/2022,46022,I,1.5,603
170630803,11/3/2022,92698,G,2.46,1382
170630807,11/8/2022,33925,F,1.15,338
170630809,11/2/2022,14389,G,1.76,302
170630811,11/8/2022,67320,F,1.12,673
170630815,11/1/2022,83069,G,1.73,1780
170630819,11/2/2022,109344,I,1.81,1975
170630821,11/3/2022,52768,S,1.06,1932
170630823,11/3/2022,62410,S,1.35,1910
170630517,11/4/2022,25031,G,1.52,613
170630233,11/3/2022,17952,S,0.96,785
170630255,11/2/2022,209202,G,1.92,3448
170630257,11/1/2022,290741,G,1.73,6226
170630267,11/3/2022,15096,S,0.9,811
170630271,11/3/2022,162211,F,1.15,1584
170630275,11/3/2022,117310,F,1.14,1173
170630277,11/3/2022,27091,S,1.06,973
170630281,11/1/2022,27091,S,1.06,973
170630287,11/1/2022,74392,G,2.16,1125
170630291,11/3/2022,44146,G,2.19,621
170630297,11/3/2022,171231,F,1.57,1656
170630299,11/1/2022,175406,G,2.19,2595
170630303,11/3/2022,19074,F,2.87,338
170630313,11/4/2022,68014,I,1.73,1111
170630317,11/3/2022,60343,G,1.92,991
170630319,11/1/2022,115110,G,1.76,2417
170630325,11/3/2022,127021,F,1.14,1238
170630329,11/1/2022,60792,G,1.48,1634
170630339,11/3/2022,179316,G,1.92,2956
170630341,11/2/2022,221517,G,1.73,4744
170630343,11/4/2022,18115,S,0.98,787
170630351,11/4/2022,22644,S,0.98,983
170630355,11/4/2022,17313,I,1.88,278
170630229,11/4/2022,64413,S,1.07,2387
170630139,11/1/2022,28778,G,1.76,605
170630143,11/3/2022,82960,S,0.93,4125
170630145,11/1/2022,70924,G,1.48,1906
170630147,10/28/2022,47981,G,1.96,757
170630149,10/28/2022,73868,G,1.67,1316
170630151,10/28/2022,24806,G,1.49,659
170630153,10/28/2022,37210,G,1.49,989
170630155,11/1/2022,60792,G,1.48,1634
170630157,10/31/2022,22379,G,1.77,417
170630159,11/3/2022,39780,S,0.92,2045
170630161,11/3/2022,16414,F,1.11,152
170630165,11/1/2022,28744,G,1.92,463
170630185,11/3/2022,13138,F,1.45,144
170630187,11/1/2022,14239,G,1.94,240
170630189,11/3/2022,32640,S,1.05,1256
170630195,11/4/2022,12546,S,0.94,719
170630199,11/3/2022,13138,F,1.45,144
170630201,11/1/2022,42350,G,1.92,715
170630205,11/2/2022,63730,G,1.99,1027
170630207,11/2/2022,86414,I,2.62,2043
170630209,11/1/2022,110252,G,1.84,1967
170630217,11/2/2022,63322,G,1.99,1021
170630221,11/2/2022,66640,I,2.6,1584
170630223,11/1/2022,83895,G,1.83,1510
170630437,11/4/2022,18496,S,1.07,625
170630439,11/3/2022,63784,S,1.5,1628
170630443,11/4/2022,25398,S,1.05,951
170630445,11/3/2022,24072,S,1.32,695
170630453,11/4/2022,99348,I,2.26,1981
170630455,11/3/2022,110237,G,1.93,1768
170630459,11/4/2022,29804,I,2.26,595
170630461,11/4/2022,50388,G,1.95,801
170630465,11/4/2022,20869,I,2.04,435
170630467,11/4/2022,57487,G,1.92,923
170630471,11/4/2022,33742,G,1.99,533
170630473,11/4/2022,54774,G,1.75,1155
170630477,11/4/2022,12546,S,0.92,621
170630479,11/3/2022,26350,S,1.07,1089
170630483,11/4/2022,16864,S,0.93,829
170630485,11/3/2022,15249,S,1.07,647
170630489,11/4/2022,52550,G,2.12,829
170630491,11/4/2022,15626,G,2.2,234
170630495,11/10/2022,15259,F,1.19,158
170630497,11/4/2022,49830,G,1.68,1129
170630499,11/8/2022,90148,F,1.21,939
170630503,11/2/2022,86632,G,1.68,1971
170630507,11/8/2022,29070,F,1.39,306
170630509,11/4/2022,32844,G,2.02,525
170630435,11/3/2022,29594,S,1.07,999
170630359,11/2/2022,68136,G,2,1133
170630363,11/4/2022,16810,G,2.24,246
170630365,11/4/2022,16810,G,2.24,246
170630367,11/1/2022,29614,S,1.47,791
170630371,11/8/2022,72522,F,1.2,765
170630373,11/2/2022,107100,G,1.66,2489
170630375,11/8/2022,42779,F,1.21,457
170630377,11/2/2022,35741,G,1.67,831
170630383,11/2/2022,27458,G,1.87,469
170630389,11/3/2022,74746,G,1.68,1694
170630395,11/3/2022,86632,G,1.68,1971
170630397,11/4/2022,17816,S,0.93,837
170630401,11/4/2022,163139,G,1.92,2695
170630403,11/3/2022,233974,G,1.73,5026
170630407,11/1/2022,167470,S,1.06,5799
170630409,11/4/2022,89080,S,1.06,3086
170630411,11/3/2022,156910,S,1.74,4045
170630413,11/8/2022,20380,F,1.58,250
170630421,11/4/2022,164373,G,1.92,2709
170630423,11/4/2022,164373,G,1.92,2709
170630425,11/4/2022,164373,G,1.92,2709
170630427,11/3/2022,207672,G,1.73,4448
170630429,11/3/2022,207672,G,1.73,4448
170630431,11/3/2022,207672,G,1.73,4448
170630887,11/3/2022,109670,G,1.96,1776
170631353,11/8/2022,70992,G,1.92,1194
170631357,11/11/2022,37699,G,1.69,759
170631359,11/8/2022,37730,G,1.84,667
170631361,11/10/2022,472362,F,1.46,4446
170631363,11/21/2022,159664,F,0.9,1404
170631367,11/8/2022,149750,G,1.93,2950
170631371,11/25/2022,229636,F,0.9,1997
170631373,11/8/2022,223720,G,1.95,3615
170631375,11/10/2022,217274,G,2,3286
170631379,11/9/2022,318131,G,2.3,4496
170631383,11/25/2022,184457,F,1.83,2445
170631385,11/10/2022,258529,G,2,4311
170631387,11/10/2022,84742,I,1.48,1137
170631389,11/10/2022,80614,G,2.19,1190
170631391,11/25/2022,293311,F,1.6,2990
170631395,11/10/2022,390850,G,2.1,6106
170631399,11/11/2022,151395,G,2.04,2665
170631401,11/10/2022,177351,G,2.19,2615
170631403,11/11/2022,207876,G,2.04,3124
170631409,11/25/2022,51680,F,1.8,621
170631419,11/21/2022,583100,F,1.72,6568
170631421,11/8/2022,624322,G,2.13,9440
170631423,11/9/2022,624322,G,2.13,9440
170631349,11/11/2022,61506,G,1.81,1095
170631277,11/10/2022,83609,G,1.81,1508
170631279,11/10/2022,86020,I,2.84,2315
170631281,11/7/2022,139060,G,1.64,3112
170631283,11/12/2022,63495,F,0.96,591
170631285,11/10/2022,144952,G,1.98,2325
170631287,11/10/2022,144952,G,1.98,2325
170631289,11/10/2022,152755,G,1.56,3575
170631291,11/8/2022,46553,G,1.78,849
170631295,11/7/2022,59568,G,1.67,1384
170631297,11/12/2022,38148,F,1.57,483
170631303,11/7/2022,185286,S,1.06,6416
170631305,11/9/2022,121149,S,1.06,4195
170631307,11/7/2022,213398,S,1.74,5501
170631311,11/7/2022,334655,G,2.13,5024
170631315,11/12/2022,85833,F,2.87,1516
170631317,11/7/2022,102887,G,1.93,1706
170631321,11/12/2022,9741,F,2.68,170
170631323,11/7/2022,43942,G,1.95,731
170631327,11/11/2022,265649,G,2.2,3955
170631329,11/7/2022,459816,G,2.12,7245
170631337,11/11/2022,120462,G,1.81,2165
170631341,11/12/2022,36139,F,1.5,413
170631345,11/11/2022,48756,G,1.81,873
170631347,11/8/2022,55855,G,1.9,945
170631505,11/11/2022,71536,G,2.09,1095
170631509,11/11/2022,70550,G,2.09,1085
170631511,11/9/2022,19870,S,1.64,433
170631515,11/11/2022,39168,G,1.84,681
170631517,11/10/2022,61200,G,1.97,1001
170631519,11/12/2022,18136,F,1.28,236
170631521,11/21/2022,18136,F,1.28,236
170631525,11/22/2022,34782,I,2.04,723
170631527,11/9/2022,58048,S,1.52,1398
170631529,11/9/2022,105101,S,1.11,4225
170631531,11/9/2022,152490,S,1.34,3653
170631535,11/12/2022,52686,S,0.96,2491
170631537,11/9/2022,88781,S,1.12,3308
170631541,11/12/2022,78826,S,0.96,3508
170631543,11/12/2022,112010,S,0.94,5499
170631545,11/11/2022,154496,S,0.94,7586
170631547,11/11/2022,27965,S,0.92,1434
170631549,11/12/2022,60792,S,0.94,2874
170631557,11/12/2022,27798,S,0.95,1336
170631561,11/10/2022,22644,I,3.33,663
170631565,11/12/2022,17952,S,0.93,839
170631567,11/13/2022,85639,I,1.46,1145
170631569,11/14/2022,21488,S,0.95,971
170631503,11/9/2022,104530,G,1.95,1724
170631425,11/19/2022,455328,G,2.46,6124
170631427,11/9/2022,743240,G,2.13,11238
170631429,11/25/2022,113716,F,0.99,1059
170631433,11/10/2022,157366,G,2,2625
170631437,11/21/2022,48736,F,0.99,455
170631443,11/11/2022,22093,G,1.78,413
170631449,11/8/2022,81063,S,1.42,2099
170631451,11/10/2022,42432,I,1.82,715
170631453,11/8/2022,14831,F,1.06,142
170631459,11/9/2022,32497,S,0.92,2103
170631461,11/9/2022,128612,S,1.07,4424
170631463,11/9/2022,19176,S,1.06,719
170631465,11/9/2022,92698,S,1.25,2335
170631467,11/9/2022,17898,S,1.22,531
170631471,11/12/2022,72583,F,1.14,707
170631475,11/12/2022,51449,F,1.35,569
170631477,11/9/2022,24154,S,0.95,1149
170631481,11/9/2022,20890,S,1.12,815
170631487,11/10/2022,356782,G,2.05,5379
170631489,11/10/2022,356782,G,2.05,5379
170631493,11/12/2022,14933,F,3.05,292
170631495,11/11/2022,181642,G,1.84,3164
170631501,11/9/2022,104530,G,1.95,1724
170631269,11/7/2022,28519,S,1.35,751
170630967,11/4/2022,29580,I,2.33,689
170630969,10/28/2022,11451,S,1.02,467
170630973,11/1/2022,22141,S,1.25,575
170630975,11/1/2022,26591,S,1.54,511
170630993,10/31/2022,25745,G,1.83,451
170630997,11/3/2022,50959,G,1.81,999
170631013,10/28/2022,27479,S,1.06,1065
170631019,10/31/2022,15820,G,1.96,256
170631027,11/2/2022,45104,G,2.17,681
170631029,11/1/2022,53040,S,1.34,1462
170631041,10/31/2022,13709,G,1.88,234
170631053,10/28/2022,22318,G,1.79,417
170631059,10/28/2022,31498,G,1.98,511
170631061,10/31/2022,21155,G,1.66,403
170631063,11/1/2022,45533,G,1.81,839
170631065,10/28/2022,22868,G,1.78,473
170631073,10/28/2022,12954,G,1.9,226
170631091,11/2/2022,19298,G,1.67,384
170631095,11/11/2022,205663,G,1.96,3318
170631097,11/19/2022,205663,G,1.96,3318
170631099,11/15/2022,264435,G,1.66,5030
170630965,11/10/2022,30325,F,1.57,374
170630889,11/3/2022,64189,G,1.6,1308
170630891,11/3/2022,31804,G,1.96,513
170630893,11/3/2022,32008,G,1.66,607
170630895,11/3/2022,50456,G,1.53,1290
170630897,11/3/2022,18462,G,1.59,376
170630901,11/8/2022,39270,F,2,539
170630903,11/3/2022,44690,G,1.99,747
170630909,11/3/2022,40038,S,1.37,1192
170630913,11/8/2022,74351,F,1.72,881
170630915,11/3/2022,122074,S,1.62,2808
170630919,11/4/2022,96342,G,2.04,1696
170630921,11/4/2022,96737,G,2.19,1428
170630933,10/28/2022,32368,S,1.07,1202
170630939,11/3/2022,28234,G,1.92,477
170630941,11/3/2022,15096,G,1.98,248
170630943,11/1/2022,78336,G,1.69,1730
170630945,11/1/2022,100001,G,2.2,1462
170630947,11/8/2022,33905,F,1.82,447
170630951,11/8/2022,28519,F,1.21,304
170630953,11/8/2022,29254,F,1.24,308
170630955,11/8/2022,159212,F,1.3,1680
170630959,11/10/2022,29090,F,2.51,491
170630961,11/4/2022,89107,I,2.3,2069
170630963,11/8/2022,30478,F,1.46,374
170631207,11/7/2022,15817,I,2.1,308
170631211,11/7/2022,16728,G,1.99,266
170631219,11/13/2022,242753,I,1.8,4862
170631221,11/17/2022,242753,I,1.8,4862
170631225,11/14/2022,242753,I,1.8,4862
170631227,11/7/2022,391082,G,2.16,6036
170631229,11/7/2022,20618,S,1.37,603
170631231,11/7/2022,391082,G,2.16,6036
170631233,11/7/2022,391082,G,2.16,6036
170631235,11/7/2022,23800,G,1.66,555
170631237,11/7/2022,13964,G,1.9,236
170631239,11/7/2022,11159,G,1.79,208
170631241,11/7/2022,49735,S,1.6,1093
170631243,11/7/2022,49419,G,2.11,721
170631247,11/7/2022,13954,S,1.14,489
170631249,11/7/2022,39304,S,1.55,889
170631251,11/7/2022,48368,G,2.19,715
170631253,11/7/2022,13801,G,1.91,236
170631255,11/7/2022,15178,G,1.96,250
170631257,11/12/2022,27418,S,0.97,1182
170631261,11/14/2022,36448,I,1.81,659
170631263,11/8/2022,56780,G,2,943
170631267,11/17/2022,17435,I,1.84,322
170631197,11/8/2022,16993,F,1.13,170
170631101,11/16/2022,171666,G,1.95,2784
170631103,11/16/2022,137506,G,1.66,2617
170631105,11/16/2022,171666,G,1.95,2784
170631107,11/19/2022,171666,G,1.95,2784
170631109,11/16/2022,241873,G,1.66,4614
170631111,11/7/2022,25650,S,1.35,653
170631135,11/16/2022,78418,S,1.53,1562
170631137,11/19/2022,35387,G,2.25,509
170631139,11/7/2022,9901,I,2.3,230
170631143,11/7/2022,17646,I,2.46,376
170631149,11/10/2022,11393,G,1.78,210
170631153,11/7/2022,53917,G,1.95,833
170631157,11/8/2022,36720,S,0.95,1728
170631159,11/9/2022,27948,S,1.17,1035
170631163,11/9/2022,33293,S,0.96,1542
170631165,11/9/2022,27744,S,1.17,1047
170631173,11/10/2022,129744,I,2.49,3010
170631175,11/10/2022,129744,I,2.49,3010
170631177,11/7/2022,210528,G,1.87,3647
170631185,11/7/2022,185803,G,1.75,4217
170631187,11/7/2022,41684,S,1.22,1296
170631191,11/7/2022,185803,G,1.75,4217
170631193,11/7/2022,15946,G,2.24,236
170629821,11/2/2022,42976,I,1.87,799
170629829,10/28/2022,45533,G,1.96,747
170629835,11/2/2022,11914,S,0.95,573
170629851,10/31/2022,23276,G,1.78,425
170629855,10/31/2022,11914,G,1.67,278
170629863,11/2/2022,22787,G,1.78,421
170629873,11/2/2022,63784,G,2.24,945
170629877,11/2/2022,31892,G,2.24,473
170629879,10/31/2022,52006,G,2.12,823
170629921,10/17/2022,113220,G,2.06,1720
170630013,11/1/2022,334655,G,2.13,5024
170630015,11/4/2022,334655,G,2.13,5024
170630017,11/4/2022,334655,G,2.13,5024
170630021,11/4/2022,156604,G,1.95,2531
170630031,11/1/2022,68850,F,2.11,957
170630039,10/31/2022,56661,G,1.78,1175
170630041,11/3/2022,32436,F,0.97,302
170630047,11/2/2022,130489,G,1.72,2359
170630049,11/2/2022,146727,G,2.09,2143
170630051,11/2/2022,191189,G,1.99,3078
170630053,11/2/2022,240040,I,2.62,5673
170630063,11/3/2022,43384,S,0.96,1944
170630067,11/3/2022,34925,S,0.96,1558
170630073,10/31/2022,21393,G,1.93,423
170630077,11/3/2022,35292,F,2.48,531
170630087,10/31/2022,18299,G,1.67,374
170630091,11/2/2022,57691,I,2.55,1364
170630093,11/2/2022,46818,G,1.95,761
170630095,10/31/2022,73868,G,1.85,1316
170630105,11/3/2022,169932,F,1.13,1692
170630109,11/3/2022,36312,F,2.2,521
170630115,11/4/2022,453614,I,1.85,8285
170630123,11/3/2022,211188,F,0.99,1967
170630127,11/1/2022,314731,G,2,5249
170630131,11/4/2022,35333,I,2.28,743
170630133,11/1/2022,32405,G,1.75,689
170630137,11/4/2022,36026,I,2.11,749
170629735,10/31/2022,114026,G,2.02,1820
170632937,11/25/2022,201389,G,1.83,3553
170632953,11/25/2022,123855,G,2.25,1778
170632957,11/26/2022,45339,S,1.17,1608
170632959,11/24/2022,258509,G,1.56,6048
170632961,11/25/2022,315425,G,1.6,6570
170632969,11/24/2022,14933,G,1.95,246
170632973,11/24/2022,116668,G,2.2,1704
170632975,11/28/2022,334655,G,2.13,5024
170632935,11/24/2022,225481,G,1.98,3615
170632933,11/24/2022,241587,G,1.98,3873
170632931,11/26/2022,57460,S,0.93,2717
170632929,11/24/2022,32436,G,1.99,551
170632923,11/24/2022,43207,S,1.35,1324
170632921,11/24/2022,212050,G,2.1,3096
170632911,11/24/2022,86170,G,2.07,1282
170625937,8/14/2022,26003,G,1.71,577
170628831,10/18/2022,34510,S,1.22,961
170628999,11/1/2022,54944,S,1.24,1196
170629003,11/2/2022,30083,I,2.11,601
170629059,11/1/2022,29131,S,1.05,1081
170629061,11/1/2022,20944,S,0.98,911
170629451,11/3/2022,16844,G,2.25,246
170629453,11/1/2022,56950,G,1.99,945
170629485,10/17/2022,26330,G,1.71,581
170629601,10/31/2022,67218,G,2.02,1021
170629643,10/31/2022,32885,G,1.95,525
170629649,10/31/2022,16249,G,1.94,260
170629665,10/31/2022,50388,G,2.25,735
170629679,10/27/2022,37128,G,1.68,845
170629685,11/2/2022,108460,I,2.33,2523
170629719,10/28/2022,32300,S,1.07,1202
170629723,10/31/2022,22073,G,2.19,310
170625267,8/10/2022,22644,S,0.98,1208
170625269,8/10/2022,14892,S,0.98,741
170625263,8/10/2022,17816,S,0.93,1028
170625261,8/10/2022,20876,S,0.96,1186
170625271,8/10/2022,16918,S,0.97,952
170625577,8/8/2022,123706,F,1.18,1565
170625581,8/21/2022,140638,G,2.2,2573
170625583,8/17/2022,183926,G,2.12,3560
170625587,8/23/2022,95676,G,2.24,1739
170625589,8/22/2022,124114,S,1.35,4099
170625593,8/17/2022,85731,G,1.99,1653
170625595,8/17/2022,124022,G,1.91,2591
170625601,8/21/2022,221517,G,1.73,5828
170625603,8/21/2022,221517,G,1.73,5828
170625605,8/25/2022,149430,G,1.92,3026
170625607,8/26/2022,149430,G,1.92,3026
170625611,8/26/2022,134487,G,1.92,2724
170625613,8/23/2022,193827,G,1.73,5100
170625615,8/7/2022,57610,I,2.62,1673
170625617,8/21/2022,81447,G,2.02,1599
170625619,8/17/2022,122502,G,1.84,2684
170625621,8/21/2022,47797,G,1.99,947
170625623,8/7/2022,48008,I,2.62,1395
170625625,8/14/2022,61251,G,1.84,1343
170625627,8/17/2022,30172,G,1.94,610
170625631,8/13/2022,25622,G,1.7,704
170625633,8/7/2022,30029,I,2.93,1021
170625635,8/21/2022,22270,S,0.93,1287
170625639,8/7/2022,155584,I,1.59,2709
170625641,8/21/2022,121094,S,1.23,2721
170625645,8/13/2022,203164,S,1.72,5302
170625665,8/12/2022,134069,F,1.14,1648
170625275,8/14/2022,131580,G,1.87,2800
170625769,8/22/2022,58507,S,1.19,2391
170625767,8/22/2022,64199,F,1.91,1065
170625765,8/22/2022,63770,F,1.89,1063
170625763,8/22/2022,149518,S,1.19,6111
170625761,8/20/2022,233825,F,1.89,3895
170625759,8/20/2022,253613,F,1.88,4237
170625757,8/11/2022,151776,G,1.96,3056
170625755,8/12/2022,157590,F,1.16,1981
170625751,8/17/2022,614557,G,2.16,11652
170625749,8/14/2022,614557,G,2.16,11652
170625739,8/14/2022,586622,G,2.16,11121
170625719,8/24/2022,228123,G,1.68,5268
170625717,8/24/2022,228123,G,1.68,5268
170625713,8/20/2022,228123,G,1.68,5268
170625711,8/17/2022,228123,G,1.68,5268
170625709,8/17/2022,228123,G,1.68,5268
170625707,8/17/2022,228123,G,1.68,5268
170625705,8/17/2022,228123,G,1.68,5268
170625703,8/13/2022,228123,G,1.68,5268
170625701,8/13/2022,228123,G,1.68,5268
170625699,8/11/2022,228123,G,1.68,5268
170625697,8/11/2022,228123,G,1.68,5268
170625695,8/27/2022,228123,G,1.68,3511
170625689,8/19/2022,19910,G,1.41,748
170625685,8/19/2022,147982,G,1.81,3348
170625683,8/24/2022,55947,G,1.77,1277
170625679,8/22/2022,123981,F,2.87,2689
170625675,8/14/2022,59925,G,1.83,1326
170625673,8/15/2022,38080,I,2.6,1112
170625671,8/21/2022,31661,G,1.99,627
170625669,8/26/2022,83793,F,1.14,1031
170625575,8/17/2022,205428,G,1.99,4274
170625381,8/10/2022,26139,S,1.53,640
170625379,8/6/2022,48695,S,1.44,1452
170625377,8/10/2022,8092,S,0.95,504
170625375,8/8/2022,34782,F,1.25,408
170625373,8/7/2022,12730,G,1.83,276
170625371,8/7/2022,53774,G,2.02,1004
170625369,8/7/2022,11893,G,1.79,266
170625367,8/10/2022,7942,S,0.95,470
170625363,8/10/2022,9765,S,1,492
170625361,8/8/2022,38298,S,0.98,1956
170625359,8/7/2022,56610,G,2.06,1058
170625357,8/10/2022,26846,S,1.52,817
170625355,8/10/2022,58786,S,1.68,1282
170625353,8/4/2022,18387,S,1.47,485
170625351,8/10/2022,11179,S,1.12,509
170625347,8/4/2022,26710,S,1.43,817
170625343,8/10/2022,51136,S,1.06,2355
170625341,7/30/2022,91270,G,2.13,1685
170625337,7/31/2022,69836,G,2.16,1326
170625335,8/7/2022,19720,I,2.33,563
170625331,8/4/2022,32606,G,2.09,586
170625327,8/4/2022,228123,G,1.68,5268
170625325,8/4/2022,228123,G,1.68,5268
170625455,8/15/2022,258563,S,1.28,9977
170625457,8/18/2022,37638,S,0.94,2647
170625459,8/7/2022,30886,I,2.71,873
170625453,8/15/2022,258563,S,1.28,9977
170625451,8/15/2022,258563,S,1.28,9977
170625449,8/12/2022,258563,S,1.28,9977
170625447,8/14/2022,219351,G,1.83,5245
170625445,8/13/2022,219351,G,1.83,5245
170625443,8/21/2022,156604,G,1.95,3110
170625441,8/8/2022,121237,F,1.13,1361
170625437,8/21/2022,334655,G,2.13,6173
170625435,8/17/2022,334655,G,2.13,6173
170625433,8/14/2022,334655,G,2.13,6173
170625431,8/9/2022,334655,G,2.13,6173
170625423,8/10/2022,11536,S,1.05,571
170625413,8/7/2022,17462,I,2.54,460
170625411,8/11/2022,110237,G,1.93,2172
170625409,8/7/2022,79478,I,2.26,1949
170625405,8/13/2022,9962,S,1,529
170625403,8/7/2022,8687,I,3.11,285
170625399,8/11/2022,11383,G,1.81,258
170625397,8/8/2022,10231,F,1.44,155
170625393,8/11/2022,178922,G,1.73,4721
170625391,8/14/2022,118646,G,1.92,2409
170625497,8/8/2022,32099,F,1.91,534
170625499,8/21/2022,32504,S,1.19,1329
170625503,8/14/2022,45859,G,2.19,846
170625505,8/14/2022,107005,G,2.19,1971
170625507,8/13/2022,387260,G,2.22,7103
170625511,8/17/2022,134487,G,1.92,2724
170625513,8/13/2022,179982,G,1.73,4736
170625523,8/14/2022,99175,G,1.88,2049
170625525,8/8/2022,116035,F,1.54,1575
170625529,8/17/2022,63648,G,1.83,1373
170625531,8/14/2022,73491,G,1.93,1498
170625537,8/27/2022,228123,G,1.68,5268
170625539,8/6/2022,21379,S,1.06,910
170625543,8/7/2022,19156,I,2.29,480
170625547,8/7/2022,27159,G,2,507
170625551,8/8/2022,57093,F,1.51,662
170625557,8/7/2022,15820,G,1.96,315
170625559,8/7/2022,23963,G,1.92,524
170625563,8/7/2022,9860,I,2.33,283
170625565,8/6/2022,17870,S,1.28,706
170625567,8/6/2022,48695,S,1.44,1452
170625569,8/7/2022,14933,G,1.95,303
170625571,8/8/2022,145962,F,0.97,1671
170625323,8/2/2022,228123,G,1.68,5268
170625321,8/2/2022,228123,G,1.68,5268
170625319,8/8/2022,26384,S,0.99,1402
170625307,8/14/2022,171503,G,1.84,3759
170625303,8/21/2022,111527,G,1.99,2207
170625301,8/11/2022,67993,G,1.78,1732
170625295,8/21/2022,44594,G,1.76,1019
170625293,8/11/2022,312004,G,2.31,5447
170625291,8/9/2022,159365,G,2.46,2635
170625285,8/9/2022,288170,G,2.05,5336
170625281,8/14/2022,80723,G,1.9,1703
170625467,8/22/2022,110078,S,1.25,3408
170625473,8/7/2022,57358,I,1.89,1343
170625481,8/13/2022,75001,S,1.49,2212
170625483,8/8/2022,84538,F,1.88,1412
170625487,8/21/2022,149518,S,1.19,6111
170625489,8/8/2022,42514,F,1.89,709
170625491,8/8/2022,53499,F,1.91,888
170625495,8/8/2022,21257,F,1.89,354
170625771,8/17/2022,202878,G,1.95,4042
170626259,8/22/2022,185552,F,1.51,2148
170626265,8/14/2022,451438,G,2.19,8178
170626275,8/14/2022,256459,G,1.96,5174
170626277,8/20/2022,90576,G,1.98,1828
170626279,8/21/2022,193596,G,1.96,3924
170626281,8/24/2022,24602,G,1.81,539
170626285,8/21/2022,28397,G,1.92,588
170626291,8/21/2022,27928,G,1.9,581
170626293,8/21/2022,46879,G,1.99,935
170626295,8/21/2022,31253,G,1.99,622
170626299,8/12/2022,269797,F,1.7,3966
170626305,8/14/2022,79682,G,1.81,1803
170626317,8/23/2022,455328,G,2.46,7524
170626319,8/24/2022,455328,G,2.46,7524
170626321,8/21/2022,715775,G,2.31,12493
170626323,8/24/2022,715775,G,2.31,12493
170626345,8/24/2022,27744,G,1.46,920
170626351,8/24/2022,15606,G,1.95,312
170626353,8/24/2022,15178,G,1.96,308
170626357,8/26/2022,56440,G,2.09,1068
170626359,8/22/2022,39739,S,1.64,1063
170626383,8/24/2022,74338,G,2.06,1471
170626387,8/17/2022,47450,I,2.1,1132
170626389,8/24/2022,56780,G,2,1159
170626113,8/22/2022,25857,S,1.23,1033
170626115,8/22/2022,98481,F,1.11,1117
170626119,8/20/2022,258692,G,1.92,5098
170626125,8/22/2022,18931,S,1.25,792
170626131,8/22/2022,25242,S,1.25,1055
170626143,8/20/2022,37128,G,1.68,1038
170626149,8/20/2022,62288,G,1.68,1735
170626157,8/22/2022,16769,S,1.12,765
170626163,8/21/2022,56202,G,2,1151
170626169,8/22/2022,21298,S,1.28,900
170626175,8/22/2022,21298,S,1.28,900
170626181,8/21/2022,34303,G,1.78,871
170626183,8/24/2022,48185,G,1.81,1065
170626185,8/17/2022,116739,G,1.96,2254
170626199,8/21/2022,44962,G,2,923
170626211,8/24/2022,13729,G,1.87,288
170626213,8/23/2022,59568,G,1.67,1700
170626221,8/24/2022,27826,G,1.88,581
170626223,8/23/2022,59500,G,1.66,1700
170626239,8/24/2022,28091,G,1.88,583
170626241,8/23/2022,24562,G,1.68,689
170626243,8/20/2022,356164,F,1.71,5558
170626249,8/14/2022,503295,G,1.97,10070
170626253,8/21/2022,217274,G,2,4037
170626255,8/20/2022,318131,G,2.3,5523
170626691,8/24/2022,21910,G,1.75,568
170626727,8/20/2022,110099,F,1.44,1240
170626751,8/24/2022,44798,G,1.95,908
170626767,8/27/2022,83803,G,2.16,1589
170626791,8/27/2022,112282,G,2.3,1951
170626793,8/17/2022,17524,G,1.6,450
170626811,8/22/2022,34884,S,1.25,1287
170626877,8/24/2022,31253,G,1.99,622
170626879,8/27/2022,30355,G,1.96,613
170626897,8/24/2022,45533,G,1.96,918
